date,product,stations,price
2023-11-07,unleaded95,4163,1.888
2023-11-06,unleaded95,4138,1.889
2023-11-02,unleaded95,4240,1.894
2023-11-01,unleaded95,4251,1.895
2023-10-27,unleaded95,4452,1.9
2023-10-26,unleaded95,4553,1.9
2023-10-25,unleaded95,4608,1.899
2023-10-23,unleaded95,4610,1.892
2023-10-20,unleaded95,4606,1.891
2023-10-18,unleaded95,4564,1.893
2023-10-17,unleaded95,4543,1.895
2023-10-12,unleaded95,4471,1.908
2023-10-11,unleaded95,4440,1.917
2023-10-10,unleaded95,4371,1.93
2023-10-06,unleaded95,4312,1.977
2023-10-05,unleaded95,4314,1.991
2023-10-04,unleaded95,4336,2.0
2023-10-03,unleaded95,4291,2.005
2023-10-02,unleaded95,4350,2.011
2023-09-29,unleaded95,4576,2.027
2023-09-28,unleaded95,4605,2.033
2023-09-27,unleaded95,4621,2.037
2023-09-26,unleaded95,4612,2.04
2023-09-22,unleaded95,4616,2.043
2023-09-20,unleaded95,4594,2.041
2023-09-19,unleaded95,4569,2.037
2023-09-18,unleaded95,4537,2.033
2023-09-15,unleaded95,4435,2.019
2023-09-13,unleaded95,4299,2.006
2023-09-12,unleaded95,4178,2.002
2023-09-11,unleaded95,4066,1.998
2023-09-07,unleaded95,4009,1.994
2023-09-06,unleaded95,4044,1.994
2023-09-05,unleaded95,4075,1.994
2023-08-28,unleaded95,4480,1.991
2023-08-25,unleaded95,4501,1.991
2023-08-24,unleaded95,4495,1.991
2023-08-18,unleaded95,4554,1.98
2023-08-02,unleaded95,4670,1.954
2023-08-01,unleaded95,4644,1.948
2023-07-31,unleaded95,4620,1.942
2023-07-21,unleaded95,4391,1.888
2023-07-19,unleaded95,4359,1.886
2023-07-17,unleaded95,4194,1.875
2023-07-12,unleaded95,4124,1.869
2023-07-07,unleaded95,4197,1.865
2023-07-03,unleaded95,4129,1.863
2023-06-26,unleaded95,4088,1.873
2023-06-21,unleaded95,4227,1.875
2023-06-19,unleaded95,4138,1.874
2023-06-16,unleaded95,4223,1.877
2023-06-15,unleaded95,4315,1.878
2023-06-13,unleaded95,4302,1.877
2023-06-12,unleaded95,4335,1.875
2023-06-09,unleaded95,4438,1.867
2023-06-08,unleaded95,4436,1.866
2023-06-07,unleaded95,4408,1.865
2023-06-06,unleaded95,4410,1.865
2023-05-26,unleaded95,4387,1.846
2023-05-16,unleaded95,4655,1.827
2023-05-09,unleaded95,4661,1.837
2023-05-08,unleaded95,4643,1.844
2023-05-10,unleaded95,4607,1.865
2023-05-11,unleaded95,4588,1.872
2023-04-27,unleaded95,4370,1.908
2023-04-25,unleaded95,4312,1.915
2023-04-24,unleaded95,4494,1.939
2023-04-20,unleaded95,4519,1.944
2023-04-19,unleaded95,4561,1.947
2023-04-21,unleaded95,4549,1.948
2023-04-11,unleaded95,4487,1.925
2023-04-06,unleaded95,4372,1.916
2023-03-31,unleaded95,4378,1.909
2023-03-30,unleaded95,4296,1.897
2023-03-29,unleaded95,4341,1.897
2023-03-27,unleaded95,4342,1.894
2023-03-28,unleaded95,4343,1.894
2023-03-22,unleaded95,4301,1.894
2023-03-20,unleaded95,4254,1.907
2023-03-17,unleaded95,4217,1.91
2023-03-09,unleaded95,4033,1.899
2023-03-03,unleaded95,4162,1.897
2023-02-28,unleaded95,4182,1.898
2023-02-22,unleaded95,4446,1.902
2023-02-20,unleaded95,4435,1.902
2023-02-17,unleaded95,4492,1.901
2023-02-14,unleaded95,4457,1.895
2023-02-13,unleaded95,4441,1.895
2023-02-09,unleaded95,4560,1.901
2023-02-07,unleaded95,4595,1.911
2023-02-02,unleaded95,4668,1.919
2023-01-26,unleaded95,4622,1.909
2023-01-27,unleaded95,4622,1.909
2023-01-25,unleaded95,4583,1.903
2023-01-23,unleaded95,4506,1.889
2023-01-19,unleaded95,4469,1.868
2023-01-18,unleaded95,4472,1.862
2023-01-17,unleaded95,4424,1.857
2023-01-16,unleaded95,4456,1.854
2023-01-13,unleaded95,4526,1.85
2023-01-11,unleaded95,4512,1.853
2023-01-10,unleaded95,4430,1.855
2022-01-04,unleaded95,3191,1.746
2022-12-23,unleaded95,4779,1.826
2022-12-20,unleaded95,4773,1.828
2022-12-16,unleaded95,4765,1.832
2022-12-15,unleaded95,4767,1.837
2022-12-13,unleaded95,4745,1.858
2022-12-12,unleaded95,4742,1.874
2022-12-07,unleaded95,4782,1.953
2022-12-06,unleaded95,4773,1.957
2022-12-05,unleaded95,4792,1.966
2022-12-02,unleaded95,4786,1.969
2022-11-30,unleaded95,4767,1.981
2022-11-28,unleaded95,4718,1.996
2022-11-25,unleaded95,4724,2.018
2022-11-23,unleaded95,4675,2.052
2022-11-21,unleaded95,4636,2.062
2022-11-17,unleaded95,4621,2.095
2022-11-16,unleaded95,4598,2.102
2022-11-15,unleaded95,4557,2.106
2022-11-14,unleaded95,4466,2.115
2022-11-06,unleaded95,4225,2.083
2022-11-08,unleaded95,4174,2.067
2022-11-04,unleaded95,4090,2.054
2022-11-07,unleaded95,4028,2.047
2022-11-01,unleaded95,3856,2.037
2022-10-31,unleaded95,3853,2.034
2022-10-27,unleaded95,4273,2.028
2022-10-26,unleaded95,4403,2.026
2022-10-25,unleaded95,4488,2.028
2022-10-21,unleaded95,4562,2.032
2022-10-18,unleaded95,4583,2.035
2022-10-17,unleaded95,4585,2.036
2022-10-14,unleaded95,4576,2.034
2022-10-11,unleaded95,4465,2.017
